,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
1076,18952000.0,29186000.0,34523000.0,25986000.0,31424000.0,20406000.0,19526000.0,20738000.0,22421000.0,34351000.0,26997000.0,26276000.0,32895000.0,25697000.0,31885000.0,27637000.0,27313000.0,30450000.0
1077,52315000.0,46041000.0,62328000.0,62085000.0,52428000.0,49121000.0,52744000.0,62156000.0,56514000.0,75418000.0,69260000.0,41423000.0,58756000.0,54097000.0,67317000.0,59672000.0,70219000.0,57274000.0
1078,23722000.0,35830000.0,36423000.0,34646000.0,38922000.0,27861000.0,34910000.0,31318000.0,26726000.0,32707000.0,36611000.0,28094000.0,37666000.0,23641000.0,35497000.0,27255000.0,35077000.0,34722000.0
1079,17560610.0,17061000.0,18552000.0,17667890.0,17854750.0,17586370.0,17676800.0,17957180.0,17714560.0,17868690.0,17772260.0,17584430.0,17880690.0,17755230.0,17921180.0,17855000.0,17816810.0,17913240.0
1080,112650000.0,137460000.0,139360000.0,114590000.0,126100000.0,94144000.0,91034000.0,113030000.0,99271000.0,137240000.0,122060000.0,111860000.0,141970000.0,129150000.0,133460000.0,121580000.0,147770000.0,118730000.0
1081,70638000.0,88146000.0,93801000.0,76470000.0,85616000.0,51072000.0,65683000.0,76070000.0,61381000.0,78272000.0,77015000.0,67764000.0,81289000.0,74315000.0,80104000.0,77488000.0,73309000.0,80791000.0
1082,9770400.0,12810000.0,13377000.0,9261400.0,8363900.0,9467514.0,8933400.0,11415000.0,11175000.0,7283900.0,12657000.0,8416100.0,9758000.0,8732000.0,10058000.0,12236000.0,9319300.0,10053000.0
1083,30337000.0,36806000.0,40864050.0,24358000.0,23148000.0,37405000.0,37804690.0,46535000.0,40325000.0,42199000.0,51239000.0,35260000.0,57191000.0,23227000.0,36722760.0,35381930.0,34868310.0,37485070.0
1084,76329000.0,74782000.0,77646000.0,81981000.0,72564000.0,77490000.0,89019000.0,91527000.0,91034000.0,94920000.0,67711000.0,68341000.0,79296000.0,84045000.0,103660000.0,76919000.0,91730000.0,86024000.0
1085,6079376.0,6159701.0,6022351.0,5936500.0,5753165.0,4424600.0,6457531.0,6066370.0,9705600.0,3600400.0,5701140.0,6027022.0,6034364.0,4565400.0,5921601.0,5848536.0,6049301.0,5992346.0
1086,3797000.0,4325383.0,4319921.0,4323400.0,4334812.0,4488100.0,4451078.0,4375957.0,4592000.0,4234500.0,4354976.0,4443739.0,4347475.0,5191000.0,4308111.0,4356540.0,4013400.0,4347467.0
1087,31811000.0,37908000.0,42207000.0,31708000.0,38511000.0,29885000.0,33669000.0,38764000.0,31301000.0,40650000.0,35966000.0,32778000.0,41580000.0,35344000.0,36049000.0,35469000.0,35777000.0,36733000.0
1088,277560000.0,321070000.0,373000000.0,318370000.0,317710000.0,290230000.0,346620000.0,386040000.0,348860000.0,357380000.0,311190000.0,272110000.0,383780000.0,296210000.0,326820000.0,319650000.0,306600000.0,322020000.0
1089,26702000.0,29219000.0,30699000.0,26935000.0,30554000.0,27060000.0,27005000.0,31340000.0,14867000.0,24806000.0,28183000.0,20960000.0,33663000.0,20160000.0,28966000.0,29959000.0,26428000.0,26532000.0
